Product - ERP Catalog Number,Primary DI Number,Description
A001-5605-P,No Primary DI Number found,No description found
2015-0090,816784020451,ACCURUN 155 Series 2000 Anti-Treponema (Syphilis) 3 x 2.0 mL
HM5162,5055273210200,This product is intended for in vitro diagnostic use in the quality control of multiple haematology parameters
1527-1,30707387065950,3M(TM) TRANSPORE SURGICAL TAPE 1527-1
1533-1,10814707021254,Fluidgard® 160 Anti-Fog Surgical Mask with Anti-Glare Shield
1626W,30707387787357,"3M™ Tegaderm™ Transparent Film Dressing Frame Style, 1626W, 4 in x 4-3/4 in (10 cm x 12 cm), 50/ct 4ct/Case"
1624W,8711428065510,3M(TM) Tegaderm(TM) Transparent Film Dressing Frame Style 1624W
1533-2,30707387794461,"3M™ Micropore™ Surgical Tape Tan 1533-2, 2 inch x 10 yard (5cm x 9,1m), 6 rolls/box"
1860,380740179021,TRANSFERRIN 1860 Tests
3586,707387813352,"3M™ Tegaderm™ +Pad Film Dressing with Non-Adherent Pad, 3586, 3-1/2 in x 4 in (9 cm x 10 cm), 25/CAR, 4 CAR/CS"
1492V,30707387762965,3M™ Attest™ Super Rapid Readout Biological Indicator for Vacuum-Assisted Steam Sterilizer Cycles 1492V
1243A,817617028897,IV Start Kit w/ Veni-Gard Kit
1658R,No Primary DI Number found,No description found
3346,5414734402309,"Extension, Dual 4 Channel 60cm"
6650,30707387444403,3M™ Ioban™ 2 Antimicrobial Incise Drape 6650
8630,E23586300,VINTAGE LF OPAQUE 4g OM-SF
8635,889024304031,No Description
,5902729751971,"Nobel Active - Narrow platform - Connection: 3,0"
3582,8711428086881,3M(TM) Tegaderm(TM) +Pad Film Dressing with Non-Adherent Pad 3582
1530-1,4064035099688,"3M™ Micropore™ Tape, 1530-1"
9939,No Primary DI Number found,No description found
9010i,No Primary DI Number found,No description found
8610,889024303805,No Description
7 01023 104025,7332747100457,PROCERA ABUTMENT TI NOBRPL NP
41482V,30707387787272,3M™ Attest™ Super Rapid 5 Steam-Plus Challenge Pack 41482V
1233LF,30707387584154,3M™ Comply™ Bowie-Dick Test Pack 1233LF
3589,8711428086904,3M(TM) Tegaderm(TM) +Pad Film Dressing with Non-Adherent Pad 3589
3591,8711428086966,3M™ Tegaderm™ +Pad Film Dressing with Non-Adherent Pad 3591
CAT 1581,887517109972,Brown/White Paired 2.5m Needle Electrode
R1546,707387804664,"3M™ Steri-Strip™ Reinforced Adhesive Skin Closures, R1546, 1/4 in x 4 in (6 mm x 100 mm), 10 Strips/Envelope"
1528-4,30707387019854,3M™ Microfoam™ Tape 1528-4
3593,8711428086980,3M™ Tegaderm™ +Pad Film Dressing with Non-Adherent Pad 3593
7.50103E+12,5700574033828,SureFISH Xp11.22 123kb RD6
3590,8711428086942,3M(TM) Tegaderm(TM) +Pad Film Dressing with Non-Adherent Pad 3590
J82003,No Primary DI Number found,No description found
3343,5414734402293,"Extension, Dual 4 Channel 30cm"
1610,889795121332,"Additive Orthopaedics Cotton Wedge Trial, 16-10"
J82004,No Primary DI Number found,No description found
1547,5055158005846,Tubigrip E Beige 1m 5x12pcs
1627,15060498451748,#1627 Cricothyrotomy Kit 6.0MM
J82005,No Primary DI Number found,No description found
J82002,No Primary DI Number found,No description found
1538-1,30707387007424,3M™ Durapore™ Surgical Tape 1 inch x 10yards (2.5cm x 9.1m) 12Rolls/Carton 10cartons/Case 1538-1
1530-0,4064035097783,"3M™ Micropore™ Tape, 1530-0"
1633mx,No Primary DI Number found,No description found
MS04,50707387788297,"3M™ Synthetic Cast Stockinet, MS04, 4 inch x 25 yard (10.1cm x 22.8m), 1 Roll/Case"
R1547,M3687111,STETH BOWLES Y-TUBING         R1547:R1599
1251,842092108345,Preci-Clix 1251
3646e,No Primary DI Number found,No description found
INGRESA CODIGO FABRICANTE,No Primary DI Number found,No description found
1582,7290013385932,No Description
1050,3700712400248,TUB 1050
4100,3610520013571,PR 4100
CMW04,No Primary DI Number found,No description found
6617,30707387444342,"6617 IOBAN II PATIENT ISOLATION DRAPE 5/BX,4BX/CS"
1294,733657218923,No Description
1.00707E+16,887517273857,"CoRoent XL+ Trial, 16x18mm"
VT-0201-01 MCA 3M,869164000000,No Description
4570M,5060038513120,Ambu White Sensor 4570M Electrode with wet gel and foam backing Center snap and PVC free. For short-term monitoring pediatric. Packing: 30 pouch/300 inner box/ 3000 carton
1863,816864020326,Sonigel 1863 (1 x 1 gallon)
1533-0,10814707020240,FLUIDGARD® 160 ANTI-FOG SURGICAL MASK WITH EXTENDED SHIELD
2228,D9432228,EXCAVATORS 246
9680,30707387765850,3M™ Surgical Clipper Professional Blade 9680
1657R,No Primary DI Number found,No description found
1250,841965102671,"MattReplct,Sentry42'' 1250"
1685,10885425907199,CVC DRESSING CHANGE TRAY 1685
1534-1,8435457235163,Multiunit
3343E,No Primary DI Number found,No description found
1243B,30707387469086,1243B 3M COMPLY STEAM CHEMICAL INTEGRATOR 100/PK 10PK/CS
3355,M52533550,No Description
6648EZ,30707387793105,"3M™ Ioban™ 2 Antimicrobial Incise Drape, 6648EZ, 10 Each/Carton, 4 Cartons/Case"
1622W,4001895928673,3M(TM) Tegaderm(TM) Transparent Film Dressing Frame Style 1622W
1296F,50707387236477,1296F STM PACK 5CNT/CS 25PK/CS 1CS/CTN
SK3525-22-2,No Primary DI Number found,No description found
SK3510-24-2,No Primary DI Number found,No description found
SK 3512-14,4042409205033,"Cortical Screw 3.5, small head, self-tapping, L 14"
SK3526-14-2,No Primary DI Number found,No description found
SK,8800039378376,No Description
PA 4532-05,4042409213151,"LOQTEQ® Prox. Lateral Tibia Plate 4.5, 3/5 holes, L 95, L"
PG3553-04-2,No Primary DI Number found,No description found
IU,10888277253919,ANESTHESIA IU
7427-15,4042409148316,"Twist drill Ã¸2.7, L 150, coil 50, quick coupling"
PK,886874111062,"PK INSTRUMENT CORD, G400 GENERATOR"
SK 3510-34,4042409080777,"Cortical Screw 3.5, self-tapping, L 34"
SK3526-18-2,No Primary DI Number found,No description found
SK3526-12-2,No Primary DI Number found,No description found
SK3526-16-2,No Primary DI Number found,No description found
SK3526-20-2,No Primary DI Number found,No description found
SK3512-12-2,No Primary DI Number found,No description found
SK3512-14-2,No Primary DI Number found,No description found
PA3562-04-2,No Primary DI Number found,No description found
SK3510-18-,No Primary DI Number found,No description found
SK3510-20-,No Primary DI Number found,No description found
PG 3555-07-2 MCA APP,869164000000,No Description
SK 3510-20-2 MCA APP.,869164000000,No Description
SK3512-30-2,No Primary DI Number found,No description found
SK3512-45-2,No Primary DI Number found,No description found
PA3562-06-2,No Primary DI Number found,No description found
SK3526-30-2,No Primary DI Number found,No description found
SK3512-20-2,No Primary DI Number found,No description found
SK3512-22-2,No Primary DI Number found,No description found
SK3512-26-2,No Primary DI Number found,No description found
SK3512-24-2,No Primary DI Number found,No description found
SK3512-60-2,No Primary DI Number found,No description found
PA3561-08-2,No Primary DI Number found,No description found
SK3512-36-2,No Primary DI Number found,No description found
SK3512-50-2??,No Primary DI Number found,No description found
PG,10193489078022,TD2 PG
SK3512-16-2,No Primary DI Number found,No description found
SK3512-32-2,No Primary DI Number found,No description found
SK3512-34-2,No Primary DI Number found,No description found
PG3553-08-2,No Primary DI Number found,No description found
02-08-3522,4042409262913,"LOQTEQ® Dist. Anterolat. Tibia Plate 3.5, 8 holes L 131, L"
SK3526-60-2,No Primary DI Number found,No description found
SK3525-26-2,No Primary DI Number found,No description found
SK3510-32-,No Primary DI Number found,No description found
PG3535-5-2,No Primary DI Number found,No description found
2512-14-2,4042409261282,"Cortical Screw 2.5, small head T8, self-tapp. L 14"
SK3526-22-2,No Primary DI Number found,No description found
4525-85-2,4042409205880,"LOQTEQ® Cortical Screw 4.5, T25, self-tapping, L 85"
PA,643169978539,WAND 777-120BT 20MM DISPOSABLE
